year,month,day,hour,sim_flow_cfs,flow_cfs
1990,6,10,0,159.8035811632759,146
1990,6,10,6,165.22809013536641,146
1990,6,10,12,163.12859169173032,157
1990,6,10,18,160.74967649622664,155
1990,6,11,0,158.51048517156215,158
1990,6,11,6,156.09774670025485,160
1990,6,11,12,153.07978907080846,163
1990,6,11,18,150.0627848185877,162
1990,6,12,0,147.45667700279685,160
1990,6,12,6,146.7139581407397,158
1990,6,12,12,144.57148400056232,158
1990,6,12,18,142.58218291355615,155
1990,6,13,0,140.83986497950622,152
1990,6,13,6,138.9927552005593,150
1990,6,13,12,137.74849893316662,149
1990,6,13,18,140.14872668115754,146
1990,6,14,0,145.06655812252635,142
1990,6,14,6,147.55429986304358,146
1990,6,14,12,145.10847390533945,147
1990,6,14,18,141.60551754351113,147
1990,6,15,0,138.15951647599283,147
1990,6,15,6,131.40374478064643,160
1990,6,15,12,129.01103591905564,173
1990,6,15,18,127.2957290324627,170
1990,6,16,0,125.79208557137943,170
1990,6,16,6,117.86607136448231,168
1990,6,16,12,116.19414997247458,167
1990,6,16,18,114.65537474678229,155
1990,6,17,0,112.335752433777,146
1990,6,17,6,107.5761843835223,144
1990,6,17,12,106.3844378736955,142
1990,6,17,18,105.34914132376477,136
1990,6,18,0,104.769527221965,130
1990,6,18,6,107.87486705899428,127
1990,6,18,12,106.82337259931145,124
1990,6,18,18,105.53789088314014,119
1990,6,19,0,103.2453168385346,112
1990,6,19,6,98.35909039486539,106
1990,6,19,12,96.9025415725084,102
1990,6,19,18,95.60006946085431,97.1
1990,6,20,0,93.61721567765207,93.2
1990,6,20,6,87.75080621627582,93.2
1990,6,20,12,86.64627595644333,94.5
1990,6,20,18,85.61838385808103,89.6
1990,6,21,0,83.86373826479637,87.2
1990,6,21,6,78.01859808379135,87.2
1990,6,21,12,76.98226076932953,86
1990,6,21,18,76.01412678965576,81.5
1990,6,22,0,74.34337899081997,80.4
1990,6,22,6,71.13277925759652,80.4
1990,6,22,12,70.21814926536477,84.9
1990,6,22,18,69.34587802782002,80.4
