p_name,name,type,zone,value
pet_adj_11_TLMO3-2,pet_adj_11,fa,TLMO3-2,1.49788
pet_adj_12_TLMO3-1,pet_adj_12,fa,TLMO3-1,1.3472472
pet_adj_12_TLMO3-2,pet_adj_12,fa,TLMO3-2,0.63714376
pfree_TLMO3-1,pfree,sac,TLMO3-1,0.49588138
pfree_TLMO3-2,pfree,sac,TLMO3-2,0.46560828
plwhc_TLMO3-1,plwhc,snow,TLMO3-1,0.12
plwhc_TLMO3-2,plwhc,snow,TLMO3-2,0.12
ptps_adj_01_TLMO3-1,ptps_adj_01,fa,TLMO3-1,4.0563735
ptps_adj_01_TLMO3-2,ptps_adj_01,fa,TLMO3-2,2.3369115
ptps_adj_02_TLMO3-1,ptps_adj_02,fa,TLMO3-1,4.0870805
ptps_adj_02_TLMO3-2,ptps_adj_02,fa,TLMO3-2,2.1921367
ptps_adj_03_TLMO3-1,ptps_adj_03,fa,TLMO3-1,10.370647
ptps_adj_03_TLMO3-2,ptps_adj_03,fa,TLMO3-2,13.115527
ptps_adj_04_TLMO3-1,ptps_adj_04,fa,TLMO3-1,3.6243452
ptps_adj_04_TLMO3-2,ptps_adj_04,fa,TLMO3-2,3.7081876
ptps_adj_05_TLMO3-1,ptps_adj_05,fa,TLMO3-1,3.0211271
ptps_adj_05_TLMO3-2,ptps_adj_05,fa,TLMO3-2,19.282607
ptps_adj_06_TLMO3-1,ptps_adj_06,fa,TLMO3-1,0.61057381
ptps_adj_06_TLMO3-2,ptps_adj_06,fa,TLMO3-2,0.40363092
ptps_adj_07_TLMO3-1,ptps_adj_07,fa,TLMO3-1,1.0832973
ptps_adj_07_TLMO3-2,ptps_adj_07,fa,TLMO3-2,0.91429234
ptps_adj_08_TLMO3-1,ptps_adj_08,fa,TLMO3-1,1.019007
ptps_adj_08_TLMO3-2,ptps_adj_08,fa,TLMO3-2,1.0938599
ptps_adj_09_TLMO3-1,ptps_adj_09,fa,TLMO3-1,0.98180861
ptps_adj_09_TLMO3-2,ptps_adj_09,fa,TLMO3-2,1.0063812
ptps_adj_10_TLMO3-1,ptps_adj_10,fa,TLMO3-1,0.061002402
ptps_adj_10_TLMO3-2,ptps_adj_10,fa,TLMO3-2,0.18396977
ptps_adj_11_TLMO3-1,ptps_adj_11,fa,TLMO3-1,11.94796
ptps_adj_11_TLMO3-2,ptps_adj_11,fa,TLMO3-2,10.351318
ptps_adj_12_TLMO3-1,ptps_adj_12,fa,TLMO3-1,3.3825009
ptps_adj_12_TLMO3-2,ptps_adj_12,fa,TLMO3-2,7.7478879
pxadj_TLMO3-1,pxadj,sac,TLMO3-1,1
pxadj_TLMO3-2,pxadj,sac,TLMO3-2,1
rexp_TLMO3-1,rexp,sac,TLMO3-1,4.7116371
rexp_TLMO3-2,rexp,sac,TLMO3-2,5.2705702
riva_TLMO3-1,riva,sac,TLMO3-1,0.48684519
riva_TLMO3-2,riva,sac,TLMO3-2,0.22252003
rserv_TLMO3-1,rserv,sac,TLMO3-1,0.98860526
rserv_TLMO3-2,rserv,sac,TLMO3-2,0.28153284
scf_TLMO3-1,scf,snow,TLMO3-1,1.0168509
scf_TLMO3-2,scf,snow,TLMO3-2,1.0177283
si_TLMO3-1,si,snow,TLMO3-1,2961.6896
si_TLMO3-2,si,snow,TLMO3-2,771.19876
side_TLMO3-1,side,sac,TLMO3-1,0
side_TLMO3-2,side,sac,TLMO3-2,0
tipm_TLMO3-1,tipm,snow,TLMO3-1,0.12
tipm_TLMO3-2,tipm,snow,TLMO3-2,0.12
uadj_TLMO3-1,uadj,snow,TLMO3-1,0.2187206
uadj_TLMO3-2,uadj,snow,TLMO3-2,0.13447197
unit_scale_TLMO3-1,unit_scale,uh,TLMO3-1,0.69551954
unit_scale_TLMO3-2,unit_scale,uh,TLMO3-2,0.83900735
unit_shape_TLMO3-1,unit_shape,uh,TLMO3-1,2.023174
unit_shape_TLMO3-2,unit_shape,uh,TLMO3-2,1.6801154
uzfwm_TLMO3-1,uzfwm,sac,TLMO3-1,226.93408
uzfwm_TLMO3-2,uzfwm,sac,TLMO3-2,9.3936612
uzk_TLMO3-1,uzk,sac,TLMO3-1,0.69999906
uzk_TLMO3-2,uzk,sac,TLMO3-2,0.58888228
uztwm_TLMO3-1,uztwm,sac,TLMO3-1,374.40403
uztwm_TLMO3-2,uztwm,sac,TLMO3-2,379.11117
zone_area_TLMO3-1,zone_area,sac,TLMO3-1,275.349
zone_area_TLMO3-2,zone_area,sac,TLMO3-2,143.895
zperc_TLMO3-1,zperc,sac,TLMO3-1,134.79296
zperc_TLMO3-2,zperc,sac,TLMO3-2,87.588628
