name,lower,optimal,upper
mat_adj_11_TLMO3-1,-2.12861364,1.9285097,2.19981667285807
mat_adj_12_TLMO3-1,-1.021350002,0.83489506,2.03719371498897
pet_adj_01_TLMO3-1,0.271954252324842,1.2444498,2.92047732608908
pet_adj_02_TLMO3-1,0.534717371448829,1.4439617,1.79152931714623
pet_adj_03_TLMO3-1,0.84987496013527,1.3338596,1.46709633765078
pet_adj_04_TLMO3-1,0.949303225991272,1.1451362,1.2244043836796
pet_adj_05_TLMO3-1,0.869581430685062,0.88740953,1.11760528766565
pet_adj_06_TLMO3-1,0.842787695231587,1.0357464,1.11406946090723
pet_adj_07_TLMO3-1,0.836354001869639,1.1003483,1.16495738828535
pet_adj_08_TLMO3-1,0.789300530719046,0.88554977,1.18500656199399
pet_adj_09_TLMO3-1,0.783150020501609,0.78898339,1.28745251588132
pet_adj_10_TLMO3-1,0.641057151472874,1.1229573,1.44740464654024
pet_adj_11_TLMO3-1,0.384788935941895,2.0327744,2.10787313554132
pet_adj_12_TLMO3-1,0.133205948930225,1.3472472,2.84079321459632
ptps_adj_01_TLMO3-1,0.109385071273681,4.0563735,4.7617235180431
ptps_adj_02_TLMO3-1,0.0239665705692702,4.0870805,4.4743960815523
ptps_adj_03_TLMO3-1,0.00238040653805488,10.370647,20
ptps_adj_04_TLMO3-1,0,3.6243452,4.73732819356603
ptps_adj_05_TLMO3-1,0,3.0211271,20
ptps_adj_06_TLMO3-1,0.34,0.61057381,1.1
ptps_adj_07_TLMO3-1,0.9,1.0832973,1.1
ptps_adj_08_TLMO3-1,0.9,1.019007,1.1
ptps_adj_09_TLMO3-1,0.9,0.98180861,1.1
ptps_adj_10_TLMO3-1,0,0.061002402,1.59344740217119
ptps_adj_11_TLMO3-1,0,11.94796,20
ptps_adj_12_TLMO3-1,0.0226387298129261,3.3825009,20
uztwm_TLMO3-2,1,379.11117,400
uzfwm_TLMO3-2,1,9.3936612,400
lztwm_TLMO3-2,1,127.54486,500
lzfpm_TLMO3-2,1,980.19107,1200
lzfsm_TLMO3-2,1,950.98534,1000
adimp_TLMO3-2,0,0.37776316,0.4
uzk_TLMO3-2,0.1,0.58888228,0.7
lzpk_TLMO3-2,1e-05,0.018195573,0.025
lzsk_TLMO3-2,0.001,0.001,0.3
zperc_TLMO3-2,1,87.588628,250
rexp_TLMO3-2,0,5.2705702,6
pctim_TLMO3-2,0,0.15105163,0.2
pfree_TLMO3-2,0,0.46560828,1
riva_TLMO3-2,0,0.22252003,1
rserv_TLMO3-2,0,0.28153284,1
init_uztwc_TLMO3-2,0,48.747502,1000
init_uzfwc_TLMO3-2,0,58.638188,1000
init_lztwc_TLMO3-2,0,391.26453,1000
init_lzfsc_TLMO3-2,0,828.82765,1000
init_lzfpc_TLMO3-2,0,866.45473,1000
init_adimc_TLMO3-2,0,333.37536,1000
scf_TLMO3-2,0.7,1.0177283,2
mfmax_TLMO3-2,0.5,1.6088687,3
mfmin_TLMO3-2,0.01,0.22842877,0.49
uadj_TLMO3-2,0.01,0.13447197,0.4
si_TLMO3-2,1,771.19876,3500
adc_a_TLMO3-2,0,0.43722905,1
adc_b_TLMO3-2,0.05,9.2346152,10
adc_c_TLMO3-2,0.05,0.32467465,10
unit_shape_TLMO3-2,1,1.6801154,3
unit_scale_TLMO3-2,0.1,0.83900735,4
map_adj_01_TLMO3-2,0.409292854359956,1.0485218,1.37562281980563
map_adj_02_TLMO3-2,0.283964082920011,0.7275131,1.04532542737884
map_adj_03_TLMO3-2,0.332260051573929,0.87911596,1.1922264225443
map_adj_04_TLMO3-2,0.30659682978267,0.97868441,1.30244263345285
map_adj_05_TLMO3-2,0.216436574410337,0.50934879,1.88143280279074
map_adj_06_TLMO3-2,0.191263968026772,0.27104773,1.61184290682785
map_adj_07_TLMO3-2,0.0822106774691707,0.97699259,5.43154737679734
map_adj_08_TLMO3-2,0.0782269914039686,0.10946938,20
map_adj_09_TLMO3-2,0.0975786420992374,1.5448261,20
map_adj_10_TLMO3-2,0.245891571232856,0.57515894,1.45536946614488
map_adj_11_TLMO3-2,0.294221210482753,1.0327876,1.04555947791591
map_adj_12_TLMO3-2,0.33853678052857,1.1188084,1.13381131038277
