month,basin,zone,lower,upper,variable
9,APLO3,APLO3-1,13.1588764,29.4630892285714,map
10,APLO3,APLO3-1,51.32573555,72.3810207371429,map
11,APLO3,APLO3-1,125.960376548571,192.809501531428,map
12,APLO3,APLO3-1,167.832071897143,247.000807931429,map
1,APRO3,APRO3-1,86.25068856,140.173590982857,map
2,APRO3,APRO3-1,79.0409972571429,123.743984885714,map
3,APRO3,APRO3-1,77.7271873371429,140.930373822857,map
4,APRO3,APRO3-1,50.07616985,105.648444314286,map
5,APRO3,APRO3-1,36.4225713,86.0969742914286,map
6,APRO3,APRO3-1,16.18022545,51.2833271657143,map
7,APRO3,APRO3-1,4.74628845,22.1991841657143,map
8,APRO3,APRO3-1,4.8004095,26.1026017371429,map
9,APRO3,APRO3-1,12.9722245,30.4282166571429,map
10,APRO3,APRO3-1,37.93443645,69.5595277771429,map
11,APRO3,APRO3-1,101.428735782857,142.515645282353,map
12,APRO3,APRO3-1,130.046686457143,181.779661541176,map
1,ARAI1,ARAI1-1,42.9906466285714,102.729776477778,map
2,ARAI1,ARAI1-1,35.6537230971429,77.3086916555556,map
3,ARAI1,ARAI1-1,42.39654335,83.0709363611111,map
4,ARAI1,ARAI1-1,28.0600785,60.2579904457143,map
5,ARAI1,ARAI1-1,29.80802395,63.9272708171429,map
6,ARAI1,ARAI1-1,14.65513325,40.2473863942857,map
7,ARAI1,ARAI1-1,4.76593535,17.1727622,map
8,ARAI1,ARAI1-1,4.0860218,19.49720256,map
9,ARAI1,ARAI1-1,11.8847743,31.4764136971429,map
10,ARAI1,ARAI1-1,24.94246345,46.2196092914286,map
11,ARAI1,ARAI1-1,47.8988807294118,89.0893802228572,map
12,ARAI1,ARAI1-1,60.5071994294118,118.338943988571,map
1,ARDQ2,ARDQ2-1,80.1573816857143,165.34074755,map
2,ARDQ2,ARDQ2-1,49.5133296171429,111.418961255556,map
3,ARDQ2,ARDQ2-1,56.4498243257143,121.404352483333,map
4,ARDQ2,ARDQ2-1,51.5949808114286,98.33415944,map
5,ARDQ2,ARDQ2-1,57.49591752,103.959942302857,map
6,ARDQ2,ARDQ2-1,71.8570397828572,137.557983891429,map
7,ARDQ2,ARDQ2-1,42.5844440228571,98.7665668628571,map
8,ARDQ2,ARDQ2-1,34.29603504,81.6404405142857,map
9,ARDQ2,ARDQ2-1,45.1347774685714,90.2575117085714,map
10,ARDQ2,ARDQ2-1,68.6597030228571,135.413383111111,map
11,ARDQ2,ARDQ2-1,90.8488807411764,188.937456588571,map
12,ARDQ2,ARDQ2-1,87.1355157882353,163.006901388571,map
1,ARDW1,ARDW1-1,115.250891091429,187.460527344444,map
2,ARDW1,ARDW1-1,75.1980940971428,136.187755733333,map
3,ARDW1,ARDW1-1,65.1068802,144.434184644444,map
4,ARDW1,ARDW1-1,28.7683829,75.2970271777778,map
5,ARDW1,ARDW1-1,25.43634105,74.0172975666667,map
6,ARDW1,ARDW1-1,19.20606395,51.7260748277778,map
7,ARDW1,ARDW1-1,8.0776445,27.4215189722222,map
8,ARDW1,ARDW1-1,9.725406,25.39208155,map
9,ARDW1,ARDW1-1,18.38831095,40.5264990114286,map
10,ARDW1,ARDW1-1,52.44539295,106.224294366667,map
11,ARDW1,ARDW1-1,120.891511182857,226.838425817143,map
12,ARDW1,ARDW1-1,120.162453723529,190.081248342857,map
1,ARGW1,ARGW1-1,243.967706845714,453.713437955556,map
2,ARGW1,ARGW1-1,158.880331028571,299.1153022,map
3,ARGW1,ARGW1-1,178.071294497143,370.198907527778,map
4,ARGW1,ARGW1-1,116.829942325714,259.368331627778,map
5,ARGW1,ARGW1-1,83.2378646571429,194.181261511111,map
6,ARGW1,ARGW1-1,59.6768594914286,136.973878234286,map
7,ARGW1,ARGW1-1,32.6587822457143,75.13311872,map
8,ARGW1,ARGW1-1,37.0599527314286,76.6331723055556,map
9,ARGW1,ARGW1-1,76.31276076,157.1204503,map
10,ARGW1,ARGW1-1,174.23288496,304.769535522222,map
11,ARGW1,ARGW1-1,283.652816876471,534.473935222857,map
12,ARGW1,ARGW1-1,229.920998717647,421.509314097143,map
1,ARKI1,ARKI1-1,40.34223072,87.4828621542857,map
2,ARKI1,ARKI1-1,36.7406507828571,70.0449413714286,map
3,ARKI1,ARKI1-1,45.8069696,82.58348736,map
4,ARKI1,ARKI1-1,30.8180558571429,63.9519857428572,map
5,ARKI1,ARKI1-1,31.75768985,65.0149031714286,map
6,ARKI1,ARKI1-1,14.3901922,37.5086996114286,map
7,ARKI1,ARKI1-1,5.35412315,14.5997356685714,map
8,ARKI1,ARKI1-1,3.761232,16.9582867771429,map
9,ARKI1,ARKI1-1,13.52661125,28.9858341142857,map
10,ARKI1,ARKI1-1,25.5033018,48.1747227657143,map
11,ARKI1,ARKI1-1,47.2519427294118,83.9408733705883,map
12,ARKI1,ARKI1-1,53.8058912823529,100.41865108,map
1,ARLW1,ARLW1-1,189.461700977143,355.884887851429,map
2,ARLW1,ARLW1-1,125.615262394286,245.013443714286,map
3,ARLW1,ARLW1-1,141.06759696,291.459229966667,map
4,ARLW1,ARLW1-1,104.677866771429,218.871079365714,map
5,ARLW1,ARLW1-1,74.6501725542857,169.190483733333,map
6,ARLW1,ARLW1-1,57.0090974914286,127.31660084,map
7,ARLW1,ARLW1-1,30.0353817085714,68.3239890457143,map
8,ARLW1,ARLW1-1,32.7510386742857,67.8400363142857,map
9,ARLW1,ARLW1-1,62.3593955828571,128.690546348571,map
10,ARLW1,ARLW1-1,139.903493914286,267.622427851429,map
11,ARLW1,ARLW1-1,213.028373117647,413.677620337143,map
12,ARLW1,ARLW1-1,178.038305788235,328.602635365714,map
1,ARWO3,ARWO3-1,119.43868035,155.047625605714,map
2,ARWO3,ARWO3-1,107.402602422857,140.927202411111,map
3,ARWO3,ARWO3-1,101.45196245,152.903007085714,map
4,ARWO3,ARWO3-1,57.92621765,106.132341165714,map
5,ARWO3,ARWO3-1,37.3023013885714,79.86459008,map
6,ARWO3,ARWO3-1,17.8934494628571,43.2853265428572,map
