# A tibble: 158 x 4
    name                   lower    optimal    upper
    <chr>                  <dbl>      <dbl>    <dbl>
 47 mat_adj_04_TLMO3-1  -1.83      -0.139      1.87 
 48 mat_adj_05_TLMO3-1  -1.72       0.175      1.32 
 49 mat_adj_06_TLMO3-1  -2.19      -0.447      1.04 
 50 mat_adj_07_TLMO3-1  -2.64      -0.426      0.333
 51 mat_adj_08_TLMO3-1  -2.17      -0.937      0.227
 52 mat_adj_09_TLMO3-1  -3.13      -0.720      1.17 
 53 mat_adj_10_TLMO3-1  -2.30       1.46       2.16 
 54 mat_adj_11_TLMO3-1  -2.13       1.93       2.20 
 55 mat_adj_12_TLMO3-1  -1.02       0.835      2.04 
 56 pet_adj_01_TLMO3-1   0.272      1.24       2.92 
 57 pet_adj_02_TLMO3-1   0.535      1.44       1.79 
 58 pet_adj_03_TLMO3-1   0.850      1.33       1.47 
 59 pet_adj_04_TLMO3-1   0.949      1.15       1.22 
 60 pet_adj_05_TLMO3-1   0.870      0.887      1.12 
 61 pet_adj_06_TLMO3-1   0.843      1.04       1.11 
 62 pet_adj_07_TLMO3-1   0.836      1.10       1.16 
 63 pet_adj_08_TLMO3-1   0.789      0.886      1.19 
 64 pet_adj_09_TLMO3-1   0.783      0.789      1.29 
 65 pet_adj_10_TLMO3-1   0.641      1.12       1.45 
 66 pet_adj_11_TLMO3-1   0.385      2.03       2.11 
 67 pet_adj_12_TLMO3-1   0.133      1.35       2.84 
 68 ptps_adj_01_TLMO3-1  0.109      4.06       4.76 
 69 ptps_adj_02_TLMO3-1  0.0240     4.09       4.47 
 70 ptps_adj_03_TLMO3-1  0.00238   10.4       20    
 71 ptps_adj_04_TLMO3-1  0          3.62       4.74 
 72 ptps_adj_05_TLMO3-1  0          3.02      20    
 73 ptps_adj_06_TLMO3-1  0.34       0.611      1.1  
 74 ptps_adj_07_TLMO3-1  0.9        1.08       1.1  
 75 ptps_adj_08_TLMO3-1  0.9        1.02       1.1  
 76 ptps_adj_09_TLMO3-1  0.9        0.982      1.1  
 77 ptps_adj_10_TLMO3-1  0          0.0610     1.59 
 78 ptps_adj_11_TLMO3-1  0         11.9       20    
 79 ptps_adj_12_TLMO3-1  0.0226     3.38      20    
 80 uztwm_TLMO3-2        1        379.       400    
 81 uzfwm_TLMO3-2        1          9.39     400    
 82 lztwm_TLMO3-2        1        128.       500    
 83 lzfpm_TLMO3-2        1        980.      1200    
 84 lzfsm_TLMO3-2        1        951.      1000    
 85 adimp_TLMO3-2        0          0.378      0.4  
 86 uzk_TLMO3-2          0.1        0.589      0.7  
 87 lzpk_TLMO3-2         0.00001    0.0182     0.025
 88 lzsk_TLMO3-2         0.001      0.001      0.3  
 89 zperc_TLMO3-2        1         87.6      250    
 90 rexp_TLMO3-2         0          5.27       6    
 91 pctim_TLMO3-2        0          0.151      0.2  
 92 pfree_TLMO3-2        0          0.466      1    
 93 riva_TLMO3-2         0          0.223      1    
 94 rserv_TLMO3-2        0          0.282      1    
 95 init_uztwc_TLMO3-2   0         48.7     1000    
 96 init_uzfwc_TLMO3-2   0         58.6     1000    
 97 init_lztwc_TLMO3-2   0        391.      1000    
 98 init_lzfsc_TLMO3-2   0        829.      1000    
 99 init_lzfpc_TLMO3-2   0        866.      1000    
100 init_adimc_TLMO3-2   0        333.      1000    
101 scf_TLMO3-2          0.7        1.02       2    
102 mfmax_TLMO3-2        0.5        1.61       3    
103 mfmin_TLMO3-2        0.01       0.228      0.49 
104 uadj_TLMO3-2         0.01       0.134      0.4  
105 si_TLMO3-2           1        771.      3500    
106 adc_a_TLMO3-2        0          0.437      1    
107 adc_b_TLMO3-2        0.05       9.23      10    
108 adc_c_TLMO3-2        0.05       0.325     10    
109 unit_shape_TLMO3-2   1          1.68       3    
