year,month,day,hour,flow_cfs
1980,10,19,18,5241.9487
1980,10,20,0,4568.397
1980,10,20,6,4312.4526
1980,10,20,12,4356.6064
1980,10,20,18,4394.9473
1980,10,21,0,4586.556
1980,10,21,6,5037.2837
1980,10,21,12,5599.838
1980,10,21,18,6009.2646
1980,10,22,0,5994.4536
1980,10,22,6,5890.7437
1980,10,22,12,6063.6333
1980,10,22,18,6426.1187
1980,10,23,0,6761.7485
1980,10,23,6,6931.484
1980,10,23,12,7157.7095
1980,10,23,18,7475.4277
1980,10,24,0,7515.8135
1980,10,24,6,7237.6206
1980,10,24,12,6832.801
1980,10,24,18,6719.618
1980,10,25,0,7310.299
1980,10,25,6,8176.438
1980,10,25,12,8626.455
1980,10,25,18,8392.395
1980,10,26,0,8078.346
1980,10,26,6,7923.0234
1980,10,26,12,7642.8926
1980,10,26,18,7186.847
1980,10,27,0,7141.703
1980,10,27,6,7423.395
1980,10,27,12,7878.321
1980,10,27,18,8367.724
1980,10,28,0,8574.132
1980,10,28,6,8540.624
1980,10,28,12,8731.823
1980,10,28,18,9257.953
1980,10,29,0,9681.922
1980,10,29,6,9607.984
1980,10,29,12,9341.265
1980,10,29,18,9283.56
1980,10,30,0,9377.465
1980,10,30,6,9619.89
1980,10,30,12,9875.543
1980,10,30,18,9860.129
1980,10,31,0,9660.264
1980,10,31,6,9430.768
1980,10,31,12,9231.903
1980,10,31,18,9035.581
1980,11,1,0,8799.507
1980,11,1,6,8708.444
1980,11,1,12,8855.382
1980,11,1,18,9611.956
1980,11,2,0,10242.517
1980,11,2,6,9839.839
1980,11,2,12,9620.7295
1980,11,2,18,10474.21
1980,11,3,0,12148.912
1980,11,3,6,14135.35
1980,11,3,12,15120.376
1980,11,3,18,14338.766
1980,11,4,0,13055.041
1980,11,4,6,13168.18
1980,11,4,12,14224.022
1980,11,4,18,15096.534
1980,11,5,0,18088.502
1980,11,5,6,23781.762
1980,11,5,12,26906.707
1980,11,5,18,25248.924
1980,11,6,0,20702.152
1980,11,6,6,15904.592
1980,11,6,12,13393.921
1980,11,6,18,13575.186
1980,11,7,0,15111.453
1980,11,7,6,15495.574
1980,11,7,12,16440.893
1980,11,7,18,21112.27
1980,11,8,0,30341.695
1980,11,8,6,37438.29
1980,11,8,12,37585.957
1980,11,8,18,35764.543
1980,11,9,0,39526.53
1980,11,9,6,47135.7
1980,11,9,12,49334.875
1980,11,9,18,44734.918
1980,11,10,0,37382.715
1980,11,10,6,32068.592
1980,11,10,12,29837.793
1980,11,10,18,28673.816
1980,11,11,0,27375.422
1980,11,11,6,25940.303
1980,11,11,12,24759.867
1980,11,11,18,23908.604
1980,11,12,0,23304.672
1980,11,12,6,22732.775
1980,11,12,12,22167.303
1980,11,12,18,21759.242
1980,11,13,0,21451.783
1980,11,13,6,21040.56
1980,11,13,12,20519.479
1980,11,13,18,20132.084
1980,11,14,0,19913.459
1980,11,14,6,19683.963
1980,11,14,12,19421.871
1980,11,14,18,19145.98
1980,11,15,0,18831.287
1980,11,15,6,18535.076
1980,11,15,12,18189.91
1980,11,15,18,17703.295
1980,11,16,0,16948.088
1980,11,16,6,16115.241
1980,11,16,12,15261.868
1980,11,16,18,14338.55
1980,11,17,0,13546.94
1980,11,17,6,13024.515
1980,11,17,12,13409.884
1980,11,17,18,14594.086
1980,11,18,0,15429.396
1980,11,18,6,14980.736
1980,11,18,12,14746.244
1980,11,18,18,14839.181
1980,11,19,0,14885.755
1980,11,19,6,14615.355
1980,11,19,12,14166.037
1980,11,19,18,14292.072
1980,11,20,0,14729.959
1980,11,20,6,15148.018
1980,11,20,12,15634.977
1980,11,20,18,15976.043
1980,11,21,0,16260.802
1980,11,21,6,15509.524
1980,11,21,12,15154.293
1980,11,21,18,21520.715
1980,11,22,0,36168.793
1980,11,22,6,46890.637
1980,11,22,12,44490.234
1980,11,22,18,36419.4
1980,11,23,0,32202.13
1980,11,23,6,31686.604
1980,11,23,12,31048.93
1980,11,23,18,28959.59
1980,11,24,0,25840.574
1980,11,24,6,22670.246
1980,11,24,12,19979.84
1980,11,24,18,18053.584
1980,11,25,0,17615.988
1980,11,25,6,18103.283
1980,11,25,12,18747.426
