name,zone,lower,upper
uzk_TLMO3-2,TLMO3-2,0.1,0.7
lzpk_TLMO3-2,TLMO3-2,1e-05,0.025
lzsk_TLMO3-2,TLMO3-2,0.001,0.3
zperc_TLMO3-2,TLMO3-2,1,250
rexp_TLMO3-2,TLMO3-2,0,6
pctim_TLMO3-2,TLMO3-2,0,0.2
pfree_TLMO3-2,TLMO3-2,0,1
riva_TLMO3-2,TLMO3-2,0,1
rserv_TLMO3-2,TLMO3-2,0,1
init_uztwc_TLMO3-2,TLMO3-2,0,1000
init_uzfwc_TLMO3-2,TLMO3-2,0,1000
init_lztwc_TLMO3-2,TLMO3-2,0,1000
init_lzfsc_TLMO3-2,TLMO3-2,0,1000
init_lzfpc_TLMO3-2,TLMO3-2,0,1000
